变量名,数据类型,连接名,PLC地址,读写属性,断电保持,注释,画面编号
U4_STA_TankB_State,Bool,PLC_04,V1.7,R,是,"下缸状态(0=空,1=满)",1
U4_VW2_StateMachine,Int,PLC_04,VW2,R,是,"状态机当前状态(0~8,99)",1
U4_VW4_PumpStatus,Int,PLC_04,VW4,R,否,注射泵状态码,2
U4_VW6_AlarmCode,Int,PLC_04,VW6,R,是,当前最高优先级报警码,5
U4_VW8_RoundCount,Int,PLC_04,VW8,R,是,实验轮次计数,1
U4_VD_C_Set,Float,PLC_04,VD10,RW,是,目标浓度设定值(%),4
U4_VD_C_Stock,Float,PLC_04,VD14,RW,是,母液浓度(%),4
U4_VD_StepResolution,Float,PLC_04,VD350,RW,是,注射泵单步分辨率(µL/步),4
U4_VD_CycleSetpoint,Float,PLC_04,VD354,RW,是,换水周期设定值(min),4
U4_VD_ExperimentTarget,Float,PLC_04,VD24,RW,是,实验时长目标(min),4
U4_VD_PreMixTime,Float,PLC_04,VD28,RW,是,S2预循环标称时长(s),4
U4_VD_PreMixTime_MinSafe,Float,PLC_04,VD32,RW,是,S2压缩下限(s),4
U4_VD_RestTime,Float,PLC_04,VD36,RW,是,S3.5静止等候标称时长(s),4
U4_VD_RestTime_Min,Float,PLC_04,VD40,RW,是,S3.5压缩下限(s),4
U4_VD_CycleExtend_Max,Float,PLC_04,VD44,RW,是,换水周期顺延上限(min),4
U4_VD_Timeout_ValveA,Float,PLC_04,VD358,RW,是,阀A动作超时(s),4
U4_VD_Timeout_ValveB,Float,PLC_04,VD362,RW,是,阀B动作超时(s),4
U4_VD_Timeout_ValveC,Float,PLC_04,VD54,RW,是,阀C动作超时(s),4
U4_VD_Timeout_Pump1,Float,PLC_04,VD58,RW,是,潜水泵1超时(s),4
U4_VD_Timeout_Pump2,Float,PLC_04,VD62,RW,是,潜水泵2超时(s),4
U4_VD_Delay_ValveA_Verify,Float,PLC_04,VD66,RW,是,阀A关闭延时验证(s),4
U4_VD_ExperimentDuration_Accum,Float,PLC_04,VD366,R,是,实验时长累加(min),1
U4_VD_Vol_Target,Float,PLC_04,VD370,R,是,本轮目标抽取体积(µL),2
U4_VD_Dose_Steps,Float,PLC_04,VD102,R,是,本轮加药目标步数,2
U4_VD_S1_Actual,Float,PLC_04,VD70,R,是,S1进水实测时长(s),2
U4_VD_S4_Actual,Float,PLC_04,VD74,R,是,S4转移实测时长(s),2
U4_VD_S6_Actual,Float,PLC_04,VD78,R,是,S6排水实测时长(s),2
U4_VD_FlowMeter_Snapshot,Float,PLC_04,VD82,R,是,流量计快照(差值基准),2
U4_VD_FlowMeter_Current,Float,PLC_04,VD86,R,是,流量计当前累计值,2
U4_VD_Current_InletVolume,Float,PLC_04,VD90,R,是,本次进水量(L),2
U4_VD_FlowRate_Instant,Float,PLC_04,VD94,R,是,瞬时流速(L/min),2
U4_VD_T_Default,Float,PLC_04,VD104,R,是,T初始默认值(s),6
U4_VD_S6_Default,Float,PLC_04,VD108,R,是,S6排水默认时长(s),6
U4_VD_T_Rolling,Float,PLC_04,VD112,R,是,T滚动实测值(s),6
U4_VD_S6_Rolling,Float,PLC_04,VD116,R,是,S6滚动实测值(s),6
U4_VD_S2_Target,Float,PLC_04,VD120,R,是,本轮S2实际目标(s),6
U4_VD_RestTime_Target,Float,PLC_04,VD124,R,是,本轮S3.5实际目标(s),6
U4_VD_CycleExtend_Target,Float,PLC_04,VD128,R,是,本轮允许空等时长(min),6
U4_VD_PumpSpeed_Start,Float,PLC_04,VD132,RW,是,注射泵启动速度(Hz),4
U4_VD_PumpSpeed_Max,Float,PLC_04,VD136,RW,是,注射泵最高速度(Hz),4
U4_VD_PumpSpeed_Cutoff,Float,PLC_04,VD140,RW,是,注射泵截止速度(Hz),4
U4_V300_0_Alarm_Overflow_AHigh,Bool,PLC_04,V300.0,R,是,上缸漫溢,5
U4_V300_1_Alarm_Overflow_BHigh,Bool,PLC_04,V300.1,R,是,下缸漫溢,5
U4_V300_2_Alarm_NCValve_Top,Bool,PLC_04,V300.2,R,是,NC球阀-上缸动作,5
U4_V300_3_Alarm_NCValve_Bottom,Bool,PLC_04,V300.3,R,是,NC球阀-下缸动作,5
U4_V300_4_EStop_Latch,Bool,PLC_04,V300.4,R,是,急停触发锁存,5
U4_V300_5_Alarm_SafetyRelay,Bool,PLC_04,V300.5,R,是,安全继电器故障(最高级),5
U4_V300_6_Alarm_ScheduleLag,Bool,PLC_04,V300.6,R,是,配液节奏严重滞后,5
U4_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_04,V300.7,R,是,配液节奏滞后提示,5
U4_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_04,V301.0,R,是,阀A关后仍有流,5
U4_V301_1_Alarm_ValveA_Leak,Bool,PLC_04,V301.1,R,是,阀A内漏,5
U4_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_04,V301.2,R,是,阀A关超时,5
U4_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_04,V301.3,R,是,阀A关到位有流,5
U4_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_04,V301.4,R,是,阀A开超时,5
U4_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_04,V301.5,R,是,阀A开到位无流,5
U4_V301_6_Alarm_ValveA_S1Start,Bool,PLC_04,V301.6,R,是,S5触发新一轮S1上缸非空,5
U4_V302_0_Alarm_ValveB_Diag,Bool,PLC_04,V302.0,R,是,阀B四态诊断异常,5
U4_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_04,V302.1,R,是,阀B开超时,5
U4_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_04,V302.2,R,是,阀B开到位无流,5
U4_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_04,V302.3,R,是,阀B关超时,5
U4_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_04,V302.4,R,是,阀B关到位有流,5
U4_V302_5_Alarm_ValveC_Diag,Bool,PLC_04,V302.5,R,是,阀C四态诊断异常,5
U4_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_04,V302.6,R,是,阀C开超时,5
U4_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_04,V302.7,R,是,阀C开到位无流,5
U4_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_04,V303.0,R,是,阀C关超时,5
U4_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_04,V303.1,R,是,阀C关到位有流,5
U4_V303_4_Alarm_SyringePump,Bool,PLC_04,V303.4,R,是,注射泵通讯/动作异常,5
U4_V303_5_Alarm_RTC_Lost,Bool,PLC_04,V303.5,R,是,RTC时钟丢失,5
U4_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_04,V303.6,R,是,流量开关瞬时异常,5
U4_CMD_Manual_ValveA_Open,Bool,PLC_04,V2.4,RW,是,手动开阀A,3
U4_CMD_Manual_ValveA_Close,Bool,PLC_04,V2.5,RW,是,手动关阀A,3
U4_CMD_Manual_ValveB_Open,Bool,PLC_04,V2.6,RW,是,手动开阀B,3
U4_CMD_Manual_ValveB_Close,Bool,PLC_04,V2.7,RW,是,手动关阀B,3
U4_CMD_Manual_ValveC_Open,Bool,PLC_04,V3.0,RW,是,手动开阀C,3
U4_CMD_Manual_ValveC_Close,Bool,PLC_04,V3.1,RW,是,手动关阀C,3
U4_CMD_Manual_Pump1_On,Bool,PLC_04,V3.2,RW,是,手动启动泵1,3
U4_CMD_Manual_Pump1_Off,Bool,PLC_04,V3.3,RW,是,手动停止泵1,3
U5_CMD_Start,Bool,PLC_05,V0.0,RW,是,启动实验(从S0进入S1),3
U5_CMD_Pause,Bool,PLC_05,V0.1,RW,是,暂停实验(预留),3
U5_CMD_Stop,Bool,PLC_05,V0.2,RW,是,停止实验(进入S7),3
U5_CMD_AckAlarm,Bool,PLC_05,V0.3,RW,是,报警确认,5
U5_CMD_Mute,Bool,PLC_05,V0.4,RW,是,消音命令,5
U5_CMD_ForceTankA_Empty,Bool,PLC_05,V0.5,RW,是,强制上缸状态=空,3
U5_CMD_ForceTankA_Full,Bool,PLC_05,V0.6,RW,是,强制上缸状态=满,3
U5_CMD_SafetyRelayAck,Bool,PLC_05,V0.7,RW,是,继电器故障HMI确认,5
U5_STA_StartAck,Bool,PLC_05,V1.0,R,是,启动命令已接收,1
U5_STA_PauseAck,Bool,PLC_05,V1.1,R,是,暂停命令已接收,3
U5_STA_StopAck,Bool,PLC_05,V1.2,R,是,停止命令已接收,3
U5_STA_AlarmAckDone,Bool,PLC_05,V1.3,R,是,报警确认已执行,5
U5_STA_MuteDone,Bool,PLC_05,V1.4,R,是,消音已执行,5
U5_STA_ForceDone,Bool,PLC_05,V1.5,R,是,状态强制已执行,3
U5_STA_TankA_State,Bool,PLC_05,V1.6,R,是,"上缸状态(0=空,1=满)",1
U5_STA_TankB_State,Bool,PLC_05,V1.7,R,是,"下缸状态(0=空,1=满)",1
U5_VW2_StateMachine,Int,PLC_05,VW2,R,是,"状态机当前状态(0~8,99)",1
U5_VW4_PumpStatus,Int,PLC_05,VW4,R,否,注射泵状态码,2
U5_VW6_AlarmCode,Int,PLC_05,VW6,R,是,当前最高优先级报警码,5
U5_VW8_RoundCount,Int,PLC_05,VW8,R,是,实验轮次计数,1
U5_VD_C_Set,Float,PLC_05,VD10,RW,是,目标浓度设定值(%),4
U5_VD_C_Stock,Float,PLC_05,VD14,RW,是,母液浓度(%),4
U5_VD_StepResolution,Float,PLC_05,VD350,RW,是,注射泵单步分辨率(µL/步),4
U5_VD_CycleSetpoint,Float,PLC_05,VD354,RW,是,换水周期设定值(min),4
U5_VD_ExperimentTarget,Float,PLC_05,VD24,RW,是,实验时长目标(min),4
U5_VD_PreMixTime,Float,PLC_05,VD28,RW,是,S2预循环标称时长(s),4
U5_VD_PreMixTime_MinSafe,Float,PLC_05,VD32,RW,是,S2压缩下限(s),4
U5_VD_RestTime,Float,PLC_05,VD36,RW,是,S3.5静止等候标称时长(s),4
U5_VD_RestTime_Min,Float,PLC_05,VD40,RW,是,S3.5压缩下限(s),4
U5_VD_CycleExtend_Max,Float,PLC_05,VD44,RW,是,换水周期顺延上限(min),4
U5_VD_Timeout_ValveA,Float,PLC_05,VD358,RW,是,阀A动作超时(s),4
U5_VD_Timeout_ValveB,Float,PLC_05,VD362,RW,是,阀B动作超时(s),4
U5_VD_Timeout_ValveC,Float,PLC_05,VD54,RW,是,阀C动作超时(s),4
U5_VD_Timeout_Pump1,Float,PLC_05,VD58,RW,是,潜水泵1超时(s),4
U5_VD_Timeout_Pump2,Float,PLC_05,VD62,RW,是,潜水泵2超时(s),4
U5_VD_Delay_ValveA_Verify,Float,PLC_05,VD66,RW,是,阀A关闭延时验证(s),4
U5_VD_ExperimentDuration_Accum,Float,PLC_05,VD366,R,是,实验时长累加(min),1
U5_VD_Vol_Target,Float,PLC_05,VD370,R,是,本轮目标抽取体积(µL),2
U5_VD_Dose_Steps,Float,PLC_05,VD102,R,是,本轮加药目标步数,2
U5_VD_S1_Actual,Float,PLC_05,VD70,R,是,S1进水实测时长(s),2
U5_VD_S4_Actual,Float,PLC_05,VD74,R,是,S4转移实测时长(s),2
U5_VD_S6_Actual,Float,PLC_05,VD78,R,是,S6排水实测时长(s),2
U5_VD_FlowMeter_Snapshot,Float,PLC_05,VD82,R,是,流量计快照(差值基准),2
U5_VD_FlowMeter_Current,Float,PLC_05,VD86,R,是,流量计当前累计值,2
U5_VD_Current_InletVolume,Float,PLC_05,VD90,R,是,本次进水量(L),2
U5_VD_FlowRate_Instant,Float,PLC_05,VD94,R,是,瞬时流速(L/min),2
U5_VD_T_Default,Float,PLC_05,VD104,R,是,T初始默认值(s),6
U5_VD_S6_Default,Float,PLC_05,VD108,R,是,S6排水默认时长(s),6
U5_VD_T_Rolling,Float,PLC_05,VD112,R,是,T滚动实测值(s),6
U5_VD_S6_Rolling,Float,PLC_05,VD116,R,是,S6滚动实测值(s),6
U5_VD_S2_Target,Float,PLC_05,VD120,R,是,本轮S2实际目标(s),6
U5_VD_RestTime_Target,Float,PLC_05,VD124,R,是,本轮S3.5实际目标(s),6
U5_VD_CycleExtend_Target,Float,PLC_05,VD128,R,是,本轮允许空等时长(min),6
U5_VD_PumpSpeed_Start,Float,PLC_05,VD132,RW,是,注射泵启动速度(Hz),4
U5_VD_PumpSpeed_Max,Float,PLC_05,VD136,RW,是,注射泵最高速度(Hz),4
U5_VD_PumpSpeed_Cutoff,Float,PLC_05,VD140,RW,是,注射泵截止速度(Hz),4
U5_V300_0_Alarm_Overflow_AHigh,Bool,PLC_05,V300.0,R,是,上缸漫溢,5
U5_V300_1_Alarm_Overflow_BHigh,Bool,PLC_05,V300.1,R,是,下缸漫溢,5
U5_V300_2_Alarm_NCValve_Top,Bool,PLC_05,V300.2,R,是,NC球阀-上缸动作,5
U5_V300_3_Alarm_NCValve_Bottom,Bool,PLC_05,V300.3,R,是,NC球阀-下缸动作,5
U5_V300_4_EStop_Latch,Bool,PLC_05,V300.4,R,是,急停触发锁存,5
U5_V300_5_Alarm_SafetyRelay,Bool,PLC_05,V300.5,R,是,安全继电器故障(最高级),5
U5_V300_6_Alarm_ScheduleLag,Bool,PLC_05,V300.6,R,是,配液节奏严重滞后,5
U5_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_05,V300.7,R,是,配液节奏滞后提示,5
U5_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_05,V301.0,R,是,阀A关后仍有流,5
U5_V301_1_Alarm_ValveA_Leak,Bool,PLC_05,V301.1,R,是,阀A内漏,5
U5_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_05,V301.2,R,是,阀A关超时,5
U5_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_05,V301.3,R,是,阀A关到位有流,5
U5_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_05,V301.4,R,是,阀A开超时,5
U5_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_05,V301.5,R,是,阀A开到位无流,5
U5_V301_6_Alarm_ValveA_S1Start,Bool,PLC_05,V301.6,R,是,S5触发新一轮S1上缸非空,5
U5_V302_0_Alarm_ValveB_Diag,Bool,PLC_05,V302.0,R,是,阀B四态诊断异常,5
U5_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_05,V302.1,R,是,阀B开超时,5
U5_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_05,V302.2,R,是,阀B开到位无流,5
U5_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_05,V302.3,R,是,阀B关超时,5
U5_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_05,V302.4,R,是,阀B关到位有流,5
U5_V302_5_Alarm_ValveC_Diag,Bool,PLC_05,V302.5,R,是,阀C四态诊断异常,5
U5_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_05,V302.6,R,是,阀C开超时,5
U5_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_05,V302.7,R,是,阀C开到位无流,5
U5_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_05,V303.0,R,是,阀C关超时,5
U5_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_05,V303.1,R,是,阀C关到位有流,5
U5_V303_4_Alarm_SyringePump,Bool,PLC_05,V303.4,R,是,注射泵通讯/动作异常,5
U5_V303_5_Alarm_RTC_Lost,Bool,PLC_05,V303.5,R,是,RTC时钟丢失,5
U5_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_05,V303.6,R,是,流量开关瞬时异常,5
U5_CMD_Manual_ValveA_Open,Bool,PLC_05,V2.4,RW,是,手动开阀A,3
U5_CMD_Manual_ValveA_Close,Bool,PLC_05,V2.5,RW,是,手动关阀A,3
U5_CMD_Manual_ValveB_Open,Bool,PLC_05,V2.6,RW,是,手动开阀B,3
U5_CMD_Manual_ValveB_Close,Bool,PLC_05,V2.7,RW,是,手动关阀B,3
U5_CMD_Manual_ValveC_Open,Bool,PLC_05,V3.0,RW,是,手动开阀C,3
U5_CMD_Manual_ValveC_Close,Bool,PLC_05,V3.1,RW,是,手动关阀C,3
U5_CMD_Manual_Pump1_On,Bool,PLC_05,V3.2,RW,是,手动启动泵1,3
U5_CMD_Manual_Pump1_Off,Bool,PLC_05,V3.3,RW,是,手动停止泵1,3
U6_CMD_Start,Bool,PLC_06,V0.0,RW,是,启动实验(从S0进入S1),3
U6_CMD_Pause,Bool,PLC_06,V0.1,RW,是,暂停实验(预留),3
U6_CMD_Stop,Bool,PLC_06,V0.2,RW,是,停止实验(进入S7),3
U6_CMD_AckAlarm,Bool,PLC_06,V0.3,RW,是,报警确认,5
U6_CMD_Mute,Bool,PLC_06,V0.4,RW,是,消音命令,5
U6_CMD_ForceTankA_Empty,Bool,PLC_06,V0.5,RW,是,强制上缸状态=空,3
U6_CMD_ForceTankA_Full,Bool,PLC_06,V0.6,RW,是,强制上缸状态=满,3
U6_CMD_SafetyRelayAck,Bool,PLC_06,V0.7,RW,是,继电器故障HMI确认,5
U6_STA_StartAck,Bool,PLC_06,V1.0,R,是,启动命令已接收,1
U6_STA_PauseAck,Bool,PLC_06,V1.1,R,是,暂停命令已接收,3
U6_STA_StopAck,Bool,PLC_06,V1.2,R,是,停止命令已接收,3
U6_STA_AlarmAckDone,Bool,PLC_06,V1.3,R,是,报警确认已执行,5
U6_STA_MuteDone,Bool,PLC_06,V1.4,R,是,消音已执行,5
U6_STA_ForceDone,Bool,PLC_06,V1.5,R,是,状态强制已执行,3
U6_STA_TankA_State,Bool,PLC_06,V1.6,R,是,"上缸状态(0=空,1=满)",1
U6_STA_TankB_State,Bool,PLC_06,V1.7,R,是,"下缸状态(0=空,1=满)",1
U6_VW2_StateMachine,Int,PLC_06,VW2,R,是,"状态机当前状态(0~8,99)",1
U6_VW4_PumpStatus,Int,PLC_06,VW4,R,否,注射泵状态码,2
U6_VW6_AlarmCode,Int,PLC_06,VW6,R,是,当前最高优先级报警码,5
U6_VW8_RoundCount,Int,PLC_06,VW8,R,是,实验轮次计数,1
U6_VD_C_Set,Float,PLC_06,VD10,RW,是,目标浓度设定值(%),4
U6_VD_C_Stock,Float,PLC_06,VD14,RW,是,母液浓度(%),4
U6_VD_StepResolution,Float,PLC_06,VD350,RW,是,注射泵单步分辨率(µL/步),4
U6_VD_CycleSetpoint,Float,PLC_06,VD354,RW,是,换水周期设定值(min),4
U6_VD_ExperimentTarget,Float,PLC_06,VD24,RW,是,实验时长目标(min),4
U6_VD_PreMixTime,Float,PLC_06,VD28,RW,是,S2预循环标称时长(s),4
U6_VD_PreMixTime_MinSafe,Float,PLC_06,VD32,RW,是,S2压缩下限(s),4
U6_VD_RestTime,Float,PLC_06,VD36,RW,是,S3.5静止等候标称时长(s),4
U6_VD_RestTime_Min,Float,PLC_06,VD40,RW,是,S3.5压缩下限(s),4
U6_VD_CycleExtend_Max,Float,PLC_06,VD44,RW,是,换水周期顺延上限(min),4
U6_VD_Timeout_ValveA,Float,PLC_06,VD358,RW,是,阀A动作超时(s),4
U6_VD_Timeout_ValveB,Float,PLC_06,VD362,RW,是,阀B动作超时(s),4
U6_VD_Timeout_ValveC,Float,PLC_06,VD54,RW,是,阀C动作超时(s),4
U6_VD_Timeout_Pump1,Float,PLC_06,VD58,RW,是,潜水泵1超时(s),4
U6_VD_Timeout_Pump2,Float,PLC_06,VD62,RW,是,潜水泵2超时(s),4
U6_VD_Delay_ValveA_Verify,Float,PLC_06,VD66,RW,是,阀A关闭延时验证(s),4
U6_VD_ExperimentDuration_Accum,Float,PLC_06,VD366,R,是,实验时长累加(min),1
U6_VD_Vol_Target,Float,PLC_06,VD370,R,是,本轮目标抽取体积(µL),2
U6_VD_Dose_Steps,Float,PLC_06,VD102,R,是,本轮加药目标步数,2
U6_VD_S1_Actual,Float,PLC_06,VD70,R,是,S1进水实测时长(s),2
U6_VD_S4_Actual,Float,PLC_06,VD74,R,是,S4转移实测时长(s),2
U6_VD_S6_Actual,Float,PLC_06,VD78,R,是,S6排水实测时长(s),2
U6_VD_FlowMeter_Snapshot,Float,PLC_06,VD82,R,是,流量计快照(差值基准),2
U6_VD_FlowMeter_Current,Float,PLC_06,VD86,R,是,流量计当前累计值,2
U6_VD_Current_InletVolume,Float,PLC_06,VD90,R,是,本次进水量(L),2
U6_VD_FlowRate_Instant,Float,PLC_06,VD94,R,是,瞬时流速(L/min),2
U6_VD_T_Default,Float,PLC_06,VD104,R,是,T初始默认值(s),6
U6_VD_S6_Default,Float,PLC_06,VD108,R,是,S6排水默认时长(s),6
U6_VD_T_Rolling,Float,PLC_06,VD112,R,是,T滚动实测值(s),6
U6_VD_S6_Rolling,Float,PLC_06,VD116,R,是,S6滚动实测值(s),6
U6_VD_S2_Target,Float,PLC_06,VD120,R,是,本轮S2实际目标(s),6
U6_VD_RestTime_Target,Float,PLC_06,VD124,R,是,本轮S3.5实际目标(s),6
U6_VD_CycleExtend_Target,Float,PLC_06,VD128,R,是,本轮允许空等时长(min),6
U6_VD_PumpSpeed_Start,Float,PLC_06,VD132,RW,是,注射泵启动速度(Hz),4
U6_VD_PumpSpeed_Max,Float,PLC_06,VD136,RW,是,注射泵最高速度(Hz),4
U6_VD_PumpSpeed_Cutoff,Float,PLC_06,VD140,RW,是,注射泵截止速度(Hz),4
U6_V300_0_Alarm_Overflow_AHigh,Bool,PLC_06,V300.0,R,是,上缸漫溢,5
U6_V300_1_Alarm_Overflow_BHigh,Bool,PLC_06,V300.1,R,是,下缸漫溢,5
U6_V300_2_Alarm_NCValve_Top,Bool,PLC_06,V300.2,R,是,NC球阀-上缸动作,5
U6_V300_3_Alarm_NCValve_Bottom,Bool,PLC_06,V300.3,R,是,NC球阀-下缸动作,5
U6_V300_4_EStop_Latch,Bool,PLC_06,V300.4,R,是,急停触发锁存,5
U6_V300_5_Alarm_SafetyRelay,Bool,PLC_06,V300.5,R,是,安全继电器故障(最高级),5
U6_V300_6_Alarm_ScheduleLag,Bool,PLC_06,V300.6,R,是,配液节奏严重滞后,5
U6_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_06,V300.7,R,是,配液节奏滞后提示,5
U6_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_06,V301.0,R,是,阀A关后仍有流,5
U6_V301_1_Alarm_ValveA_Leak,Bool,PLC_06,V301.1,R,是,阀A内漏,5
U6_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_06,V301.2,R,是,阀A关超时,5
U6_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_06,V301.3,R,是,阀A关到位有流,5
U6_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_06,V301.4,R,是,阀A开超时,5
U6_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_06,V301.5,R,是,阀A开到位无流,5
U6_V301_6_Alarm_ValveA_S1Start,Bool,PLC_06,V301.6,R,是,S5触发新一轮S1上缸非空,5
U6_V302_0_Alarm_ValveB_Diag,Bool,PLC_06,V302.0,R,是,阀B四态诊断异常,5
U6_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_06,V302.1,R,是,阀B开超时,5
U6_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_06,V302.2,R,是,阀B开到位无流,5
U6_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_06,V302.3,R,是,阀B关超时,5
U6_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_06,V302.4,R,是,阀B关到位有流,5
U6_V302_5_Alarm_ValveC_Diag,Bool,PLC_06,V302.5,R,是,阀C四态诊断异常,5
U6_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_06,V302.6,R,是,阀C开超时,5
U6_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_06,V302.7,R,是,阀C开到位无流,5
U6_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_06,V303.0,R,是,阀C关超时,5
U6_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_06,V303.1,R,是,阀C关到位有流,5
U6_V303_4_Alarm_SyringePump,Bool,PLC_06,V303.4,R,是,注射泵通讯/动作异常,5
U6_V303_5_Alarm_RTC_Lost,Bool,PLC_06,V303.5,R,是,RTC时钟丢失,5
U6_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_06,V303.6,R,是,流量开关瞬时异常,5
U6_CMD_Manual_ValveA_Open,Bool,PLC_06,V2.4,RW,是,手动开阀A,3
U6_CMD_Manual_ValveA_Close,Bool,PLC_06,V2.5,RW,是,手动关阀A,3
U6_CMD_Manual_ValveB_Open,Bool,PLC_06,V2.6,RW,是,手动开阀B,3
U6_CMD_Manual_ValveB_Close,Bool,PLC_06,V2.7,RW,是,手动关阀B,3
U6_CMD_Manual_ValveC_Open,Bool,PLC_06,V3.0,RW,是,手动开阀C,3
U6_CMD_Manual_ValveC_Close,Bool,PLC_06,V3.1,RW,是,手动关阀C,3
U6_CMD_Manual_Pump1_On,Bool,PLC_06,V3.2,RW,是,手动启动泵1,3
U6_CMD_Manual_Pump1_Off,Bool,PLC_06,V3.3,RW,是,手动停止泵1,3
U7_CMD_Start,Bool,PLC_07,V0.0,RW,是,启动实验(从S0进入S1),3
U7_CMD_Pause,Bool,PLC_07,V0.1,RW,是,暂停实验(预留),3
U7_CMD_Stop,Bool,PLC_07,V0.2,RW,是,停止实验(进入S7),3
U7_CMD_AckAlarm,Bool,PLC_07,V0.3,RW,是,报警确认,5
U7_CMD_Mute,Bool,PLC_07,V0.4,RW,是,消音命令,5
U7_CMD_ForceTankA_Empty,Bool,PLC_07,V0.5,RW,是,强制上缸状态=空,3
U7_CMD_ForceTankA_Full,Bool,PLC_07,V0.6,RW,是,强制上缸状态=满,3
U7_CMD_SafetyRelayAck,Bool,PLC_07,V0.7,RW,是,继电器故障HMI确认,5
U7_STA_StartAck,Bool,PLC_07,V1.0,R,是,启动命令已接收,1
U7_STA_PauseAck,Bool,PLC_07,V1.1,R,是,暂停命令已接收,3
U7_STA_StopAck,Bool,PLC_07,V1.2,R,是,停止命令已接收,3
U7_STA_AlarmAckDone,Bool,PLC_07,V1.3,R,是,报警确认已执行,5
U7_STA_MuteDone,Bool,PLC_07,V1.4,R,是,消音已执行,5
U7_STA_ForceDone,Bool,PLC_07,V1.5,R,是,状态强制已执行,3
U7_STA_TankA_State,Bool,PLC_07,V1.6,R,是,"上缸状态(0=空,1=满)",1
U7_STA_TankB_State,Bool,PLC_07,V1.7,R,是,"下缸状态(0=空,1=满)",1
U7_VW2_StateMachine,Int,PLC_07,VW2,R,是,"状态机当前状态(0~8,99)",1
U7_VW4_PumpStatus,Int,PLC_07,VW4,R,否,注射泵状态码,2
U7_VW6_AlarmCode,Int,PLC_07,VW6,R,是,当前最高优先级报警码,5
U7_VW8_RoundCount,Int,PLC_07,VW8,R,是,实验轮次计数,1
U7_VD_C_Set,Float,PLC_07,VD10,RW,是,目标浓度设定值(%),4
U7_VD_C_Stock,Float,PLC_07,VD14,RW,是,母液浓度(%),4
U7_VD_StepResolution,Float,PLC_07,VD350,RW,是,注射泵单步分辨率(µL/步),4
U7_VD_CycleSetpoint,Float,PLC_07,VD354,RW,是,换水周期设定值(min),4
U7_VD_ExperimentTarget,Float,PLC_07,VD24,RW,是,实验时长目标(min),4
U7_VD_PreMixTime,Float,PLC_07,VD28,RW,是,S2预循环标称时长(s),4
U7_VD_PreMixTime_MinSafe,Float,PLC_07,VD32,RW,是,S2压缩下限(s),4
U7_VD_RestTime,Float,PLC_07,VD36,RW,是,S3.5静止等候标称时长(s),4
U7_VD_RestTime_Min,Float,PLC_07,VD40,RW,是,S3.5压缩下限(s),4
U7_VD_CycleExtend_Max,Float,PLC_07,VD44,RW,是,换水周期顺延上限(min),4
